Move forward by 0.1 meters,"[("MOVE"|0.1)]"
Advance a tenth of a meter ahead.,"[("MOVE"|0.1)]"
Progress one decimeter further in the forward direction.,"[("MOVE"|0.1)]"
Propel oneself 10 centimeters forward.,"[("MOVE"|0.1)]"
Travel 100 millimeters distant in the frontal zone.,"[("MOVE"|0.1)]"
Inch forward by 3.937 inches.,"[("MOVE"|0.1)]"
Roll 0.328 feet in the advancing path.,"[("MOVE"|0.1)]"
Creep 0.0833 yards forward.,"[("MOVE"|0.1)]"
Crawl 0.1 meters forward.,"[("MOVE"|0.1)]"
Shuffle 0.1 meters ahead.,"[("MOVE"|0.1)]"
Budge 0.1 meters from the current location.,"[("MOVE"|0.1)]"
Slide forward 0.1 meters along the smooth surface.,"[("MOVE"|0.1)]"
Roll 0.1 meters ahead on the level ground.,"[("MOVE"|0.1)]"
Drag oneself 10 centimeters further in the forward direction.,"[("MOVE"|0.1)]"
Slither 0.1 meters ahead on the slippery floor.,"[("MOVE"|0.1)]"
Creep 0.1 meters forward using wheels or rollers.,"[("MOVE"|0.1)]"
Skate 0.1 meters along the flat ice.,"[("MOVE"|0.1)]"
Cartwheel 0.1 meters in the forward motion.,"[("MOVE"|0.1)]"
Somersault 0.1 meters ahead in the horizontal plane.,"[("MOVE"|0.1)]"
Logroll 0.1 meters in the forward progression.,"[("MOVE"|0.1)]"
Roll 0.1 meters in the anterior field.,"[("MOVE"|0.1)]"
Advance 10 centimeters.,"[("MOVE"|0.1)]"
Go ahead by 100 millimeters.,"[("MOVE"|0.1)]"
Proceed forward for 0.1 m.,"[("MOVE"|0.1)]"
Take a step that covers 10 cm.,"[("MOVE"|0.1)]"
Shift forward by a distance of 100 mm.,"[("MOVE"|0.1)]"
Make a move to cover a tenth of a meter.,"[("MOVE"|0.1)]"
Progress by a length of 0.328 feet.,"[("MOVE"|0.1)]"
Navigate forward for about 3.94 inches.,"[("MOVE"|0.1)]"
Inch forward approximately 3.94 in.,"[("MOVE"|0.1)]"
Glide ahead for roughly 0.328 ft.,"[("MOVE"|0.1)]"
Propel yourself 10 cm ahead.,"[("MOVE"|0.1)]"
Move up by a span of 0.1 meters.,"[("MOVE"|0.1)]"
Traverse a segment equal to 100 millimeters.,"[("MOVE"|0.1)]"
Edge forward by exactly 10 centimeters.,"[("MOVE"|0.1)]"
Slide ahead by a measure of 0.328 feet.,"[("MOVE"|0.1)]"
Creep up by the length of 3.94 inches.,"[("MOVE"|0.1)]"
Advance by a margin of 0.1 m.,"[("MOVE"|0.1)]"
Push forward for a stretch of 100 mm.,"[("MOVE"|0.1)]"
Migrate forward by 10 cm.,"[("MOVE"|0.1)]"
Journey ahead for 0.1 meters.,"[("MOVE"|0.1)]"
Trek forward a distance of 100 millimeters.,"[("MOVE"|0.1)]"
Sashay forward by ten centimeters.,"[("MOVE"|0.1)]"
Glide over a distance of approximately 3.94 in.,"[("MOVE"|0.1)]"
Stride forward by about 0.328 ft.,"[("MOVE"|0.1)]"
Move ahead for a measure of 0.1 meters.,"[("MOVE"|0.1)]"
Proceed by a length of 10 centimeters.,"[("MOVE"|0.1)]"
Shift ahead by 100 mm.,"[("MOVE"|0.1)]"
Take a leap to cover a tenth of a meter.,"[("MOVE"|0.1)]"
March forward for a span of 0.328 feet.,"[("MOVE"|0.1)]"
Move on for roughly 3.94 inches.,"[("MOVE"|0.1)]"
Propel forward by exactly 10 cm.,"[("MOVE"|0.1)]"
Edge up to a distance of 0.1 m.,"[("MOVE"|0.1)]"
Slide ahead by 100 millimeters.,"[("MOVE"|0.1)]"
Creep forward by a length of 10 centimeters.,"[("MOVE"|0.1)]"
Stride up by about 0.328 ft.,"[("MOVE"|0.1)]"
Advance a stretch of 3.94 in.,"[("MOVE"|0.1)]"
Push ahead for 0.1 meters.,"[("MOVE"|0.1)]"
Migrate up by a measure of 100 mm.,"[("MOVE"|0.1)]"
Journey forward by ten centimeters.,"[("MOVE"|0.1)]"
Trek a distance of 0.1 m.,"[("MOVE"|0.1)]"
Sashay up by a span of 3.94 inches.,"[("MOVE"|0.1)]"
Glide for a stretch of 10 cm.,"[("MOVE"|0.1)]"
Stride over approximately 0.328 feet.,"[("MOVE"|0.1)]"
Move along for a length of 100 millimeters.,"[("MOVE"|0.1)]"
Proceed on for 10 centimeters.,"[("MOVE"|0.1)]"
Shift up by a tenth of a meter.,"[("MOVE"|0.1)]"
Take a step forward covering 3.94 in.,"[("MOVE"|0.1)]"
March ahead for a measure of 0.1 meters.,"[("MOVE"|0.1)]"
Move over a span of 100 mm.,"[("MOVE"|0.1)]"
Propel yourself forward by exactly 10 cm.,"[("MOVE"|0.1)]"
Edge ahead by a distance of 0.328 ft.,"[("MOVE"|0.1)]"
Slide forward for a length of 3.94 inches.,"[("MOVE"|0.1)]"
Creep ahead by a stretch of 0.1 m.,"[("MOVE"|0.1)]"
Stride forward covering 100 millimeters.,"[("MOVE"|0.1)]"
Advance up by a measure of 10 centimeters.,"[("MOVE"|0.1)]"
Push ahead for about 0.328 feet.,"[("MOVE"|0.1)]"
Migrate forward by roughly 3.94 in.,"[("MOVE"|0.1)]"
Journey ahead covering a tenth of a meter.,"[("MOVE"|0.1)]"
Trek for a span of 10 cm.,"[("MOVE"|0.1)]"
Sashay forward by a distance of 100 mm.,"[("MOVE"|0.1)]"
Move forward by 0.2 meters,"[("MOVE"|0.2)]"
Proceed ahead by 0.2 meters.,"[("MOVE"|0.2)]"
Advance by 0.2 meters.,"[("MOVE"|0.2)]"
Go forward 0.2 meters.,"[("MOVE"|0.2)]"
Take a step ahead by 0.2 meters.,"[("MOVE"|0.2)]"
Move onward by 0.2 meters.,"[("MOVE"|0.2)]"
Progress by 0.2 meters.,"[("MOVE"|0.2)]"
Travel forward 0.2 meters.,"[("MOVE"|0.2)]"
Step ahead by 0.2 meters.,"[("MOVE"|0.2)]"
Push forward 0.2 meters.,"[("MOVE"|0.2)]"
Propel ahead by 0.2 meters.,"[("MOVE"|0.2)]"
Inch forward by 0.2 meters.,"[("MOVE"|0.2)]"
Go forth by 0.2 meters.,"[("MOVE"|0.2)]"
Proceed onward by 0.2 meters.,"[("MOVE"|0.2)]"
Take a stride forward by 0.2 meters.,"[("MOVE"|0.2)]"
Move along by 0.2 meters.,"[("MOVE"|0.2)]"
Make headway by 0.2 meters.,"[("MOVE"|0.2)]"
Press forward by 0.2 meters.,"[("MOVE"|0.2)]"
Forge ahead by 0.2 meters.,"[("MOVE"|0.2)]"
Go ahead by 0.2 meters.,"[("MOVE"|0.2)]"
Step forward by 0.2 meters.,"[("MOVE"|0.2)]"
Continue forward by 0.2 meters.,"[("MOVE"|0.2)]"
Drive forward by 0.2 meters.,"[("MOVE"|0.2)]"
Head forward by 0.2 meters.,"[("MOVE"|0.2)]"
Press on by 0.2 meters.,"[("MOVE"|0.2)]"
March forward by 0.2 meters.,"[("MOVE"|0.2)]"
Proceed along by 0.2 meters.,"[("MOVE"|0.2)]"
Take a move forward by 0.2 meters.,"[("MOVE"|0.2)]"
Go onward by 0.2 meters.,"[("MOVE"|0.2)]"
Move ahead by 0.2 meters.,"[("MOVE"|0.2)]"
Traverse forward by 0.2 meters.,"[("MOVE"|0.2)]"
Advance 20 centimeters.,"[("MOVE"|0.2)]"
Proceed forward for 200 millimeters.,"[("MOVE"|0.2)]"
Step ahead by 0.2 m.,"[("MOVE"|0.2)]"
Go forward approximately 7.87 inches.,"[("MOVE"|0.2)]"
Travel ahead by twenty centimeters.,"[("MOVE"|0.2)]"
Make a move of 200 mm forward.,"[("MOVE"|0.2)]"
Shift forward by two-tenths of a meter.,"[("MOVE"|0.2)]"
Navigate forward for 0.219 yards.,"[("MOVE"|0.2)]"
Glide ahead by roughly 7.87 in.,"[("MOVE"|0.2)]"
Propel yourself 0.656 feet forward.,"[("MOVE"|0.2)]"
Move straight ahead by 0.2 meters.,"[("MOVE"|0.2)]"
Edge forward by approximately 200 millimeters.,"[("MOVE"|0.2)]"
Take a step forward of 7.87 inches.,"[("MOVE"|0.2)]"
Proceed by a length of 0.2 m.,"[("MOVE"|0.2)]"
Advance by a measure of twenty centimeters.,"[("MOVE"|0.2)]"
Make your way forward by 200 mm.,"[("MOVE"|0.2)]"
Progress forward by two-tenths of a meter.,"[("MOVE"|0.2)]"
Slide forward for about 0.219 yd.,"[("MOVE"|0.2)]"
Push ahead by close to 7.87 in.,"[("MOVE"|0.2)]"
Move up by 0.656 ft.,"[("MOVE"|0.2)]"
Creep forward by 0.2 meters.,"[("MOVE"|0.2)]"
Shift upwards by 20 cm.,"[("MOVE"|0.2)]"
Move onwards for 200 millimeters.,"[("MOVE"|0.2)]"
Take a leap forward by 7.87 inches.,"[("MOVE"|0.2)]"
Stride forward by two-tenths of a meter.,"[("MOVE"|0.2)]"
Advance directly by 0.219 yards.,"[("MOVE"|0.2)]"
Edge forward precisely 200 mm.,"[("MOVE"|0.2)]"
Propel ahead roughly 0.656 feet.,"[("MOVE"|0.2)]"
Move forward by a span of 20 centimeters.,"[("MOVE"|0.2)]"
Take a stride of 7.87 inches forward.,"[("MOVE"|0.2)]"
Push forward a distance of 0.2 m.,"[("MOVE"|0.2)]"
Navigate through a space of 200 millimeters.,"[("MOVE"|0.2)]"
Advance for a length of 0.219 yds.,"[("MOVE"|0.2)]"
Step forward about 7.87 in.,"[("MOVE"|0.2)]"
Progress by moving 0.656 ft forward.,"[("MOVE"|0.2)]"
Glide ahead for 20 cm.,"[("MOVE"|0.2)]"
Shift your position forward by 200 mm.,"[("MOVE"|0.2)]"
Propel forward by a fraction of 0.2 meters.,"[("MOVE"|0.2)]"
Move ahead by a stretch of 7.87 inches.,"[("MOVE"|0.2)]"
Take steps forward measuring 0.219 yards.,"[("MOVE"|0.2)]"
Edge up by precisely 200 millimeters.,"[("MOVE"|0.2)]"
Stride ahead for about 0.656 feet.,"[("MOVE"|0.2)]"
Creep up by 20 centimeters.,"[("MOVE"|0.2)]"
Advance a bit over 7.87 in.,"[("MOVE"|0.2)]"
