Advance a tenth of a meter ahead.
Progress one decimeter further in the forward direction.
Propel oneself 10 centimeters forward.
Travel 100 millimeters distant in the frontal zone.
Inch forward by 3.937 inches.
Roll 0.328 feet in the advancing path.
Creep 0.0833 yards forward.
Crawl 0.1 meters forward.
Shuffle 0.1 meters ahead.
Budge 0.1 meters from the current location.
Slide forward 0.1 meters along the smooth surface.
Roll 0.1 meters ahead on the level ground.
Drag oneself 10 centimeters further in the forward direction.
Slither 0.1 meters ahead on the slippery floor.
Creep 0.1 meters forward using wheels or rollers.
Skate 0.1 meters along the flat ice.
Cartwheel 0.1 meters in the forward motion.
Somersault 0.1 meters ahead in the horizontal plane.
Logroll 0.1 meters in the forward progression.
Roll 0.1 meters in the anterior field.
Proceed ahead by 0.2 meters.
Advance by 0.2 meters.
Go forward 0.2 meters.
Take a step ahead by 0.2 meters.
Move onward by 0.2 meters.
Progress by 0.2 meters.
Travel forward 0.2 meters.
Step ahead by 0.2 meters.
Push forward 0.2 meters.
Propel ahead by 0.2 meters.
Inch forward by 0.2 meters.
Go forth by 0.2 meters.
Proceed onward by 0.2 meters.
Take a stride forward by 0.2 meters.
Move along by 0.2 meters.
Make headway by 0.2 meters.
Press forward by 0.2 meters.
Forge ahead by 0.2 meters.
Go ahead by 0.2 meters.
Step forward by 0.2 meters.
Continue forward by 0.2 meters.
Drive forward by 0.2 meters.
Head forward by 0.2 meters.
Press on by 0.2 meters.
March forward by 0.2 meters.
Proceed along by 0.2 meters.
Take a move forward by 0.2 meters.
Go onward by 0.2 meters.
Move ahead by 0.2 meters.
Traverse forward by 0.2 meters.
Advance by a quarter meter.
Progress ahead by 0.25 meters.
Proceed by a quarter of a meter.
Move onward 0.25 meters.
Step forward by 0.25 meters.
Move ahead by a quarter meter.
Increment by 0.25 meters.
Proceed by 25 centimeters.
Advance by a quarter of a meter.
Step ahead by 0.25 meters.
Progress forward by 0.25 meters.
Move onward a quarter meter.
Take a quarter-meter step forward.
Advance by 25 centimeters.
Proceed by a quarter meter.
Take a 0.25-meter stride.
Move ahead by 25 centimeters.
Progress forward by a quarter meter.
Increment by 25 centimeters.
Step forward by 25 centimeters.
Advance by a quarter meter.
Move onward by 25 centimeters.
Proceed by 0.25 meters.
Take a quarter-meter step.
